108442619576707340, 1.7061332017226266e-29
154454298740142500, 2.4390862755846924e-29
218373532760216580, 3.448188077015863e-29
322700768751553860, 5.097491469593361e-29
476869998101777800, 7.535673432600224e-29
694384471240981400, 1.089398422648593e-28
1018591388054114800, 1.6104687570422564e-28
1538863149819957200, 2.4345503177317555e-28
2240784026786059500, 3.5195199204385525e-28
3311311214825907700, 4.920358721125532e-28
4545691935849227000, 6.22094130087216e-28
7125248247522646000, 7.438120631331236e-28
11334438229710370000, 6.9560156385853755e-28
16504409856522822000, 5.145155974590467e-28
21998851090492560000, 3.328366977763579e-28
27441004182565814000, 2.036158778715342e-28
32991343378886423000, 1.2181231260824556e-28
39664318794685980000, 6.444894978466718e-29
45962114466600305000, 3.605726023551271e-29
53653739951985345000, 1.764266827433098e-29
61716316845558110000, 8.53660856404786e-30
69438447124098140000, 4.2712776295659165e-30
79873000611131380000, 1.807480268891641e-30

