121991883101271360, 1.9744882128159267e-27
174472353215996130, 2.8587016423172003e-27
244618449240458750, 4.0019598504305746e-27
353347024771123460, 5.6656110082524305e-27
505355646182711400, 8.111308307896822e-27
715609766322318000, 1.1612749687531167e-26
993395760333195400, 1.589639703289613e-26
1449275929201871600, 2.301510640068963e-26
2093453454741255200, 3.150479248618778e-26
3115481522497082400, 4.1699406149135074e-26
4729553515022606000, 5.102608025649597e-26
7545670586338787000, 5.581529786570699e-26
12038587663018697000, 5.336699231206301e-26
18828691678470033000, 4.561323862890187e-26
28300790155166544000, 3.564084991415332e-26
42117291216004770000, 2.603660866342389e-26
61445376354402120000, 1.8186128681293144e-26
86149309043836200000, 1.2561050858340288e-26
117237013912415420000, 8.579096609159115e-27
157965101573104070000, 5.6656110082524305e-27
206589342607576300000, 3.699830414406951e-27
301395449252141900000, 1.909168041312678e-27
418391385306980160000, 9.741736169915872e-28
569371445975383340000, 4.806380863064369e-28
759583530315030600000, 2.31878103811258e-28

